,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,^DJI,^GSPC,^IXIC,^DJI,^GSPC,^IXIC,^DJI,^GSPC,^IXIC,^DJI,^GSPC,^IXIC,^DJI,^GSPC,^IXIC,^DJI,^GSPC,^IXIC
Date,,,,,,,,,,,,,,,,,,
2018-01-02,24824.009765625,2695.81005859375,7006.89990234375,24824.009765625,2695.81005859375,7006.89990234375,24864.189453125,2695.889892578125,7006.91015625,24741.69921875,2682.360107421875,6924.080078125,24809.349609375,2683.72998046875,6937.64990234375,341130000,3397430000,1929700000
2018-01-03,24922.6796875,2713.06005859375,7065.52978515625,24922.6796875,2713.06005859375,7065.52978515625,24941.919921875,2714.3701171875,7069.14990234375,24825.55078125,2697.77001953125,7016.7001953125,24850.44921875,2697.85009765625,7017.06982421875,456790000,3544030000,2173130000
2018-01-04,25075.130859375,2723.989990234375,7077.91015625,25075.130859375,2723.989990234375,7077.91015625,25105.9609375,2729.2900390625,7098.0498046875,24963.26953125,2719.070068359375,7072.3798828125,24964.859375,2719.31005859375,7089.5,403280000,3697340000,2103220000
2018-01-05,25295.869140625,2743.14990234375,7136.56005859375,25295.869140625,2743.14990234375,7136.56005859375,25299.7890625,2743.449951171875,7137.0400390625,25112.009765625,2727.919921875,7097.080078125,25114.919921875,2731.330078125,7105.740234375,358020000,3239280000,2024000000
2018-01-08,25283.0,2747.7099609375,7157.39013671875,25283.0,2747.7099609375,7157.39013671875,25311.990234375,2748.510009765625,7161.35009765625,25235.41015625,2737.60009765625,7124.08984375,25308.400390625,2742.669921875,7135.3798828125,341390000,3246160000,2055010000
2018-01-09,25385.80078125,2751.2900390625,7163.580078125,25385.80078125,2751.2900390625,7163.580078125,25439.779296875,2759.139892578125,7181.14013671875,25308.41015625,2747.860107421875,7148.2998046875,25312.05078125,2751.14990234375,7174.18994140625,333490000,3467460000,2155810000
2018-01-10,25369.130859375,2748.22998046875,7153.56982421875,25369.130859375,2748.22998046875,7153.56982421875,25404.919921875,2750.800048828125,7154.240234375,25256.990234375,2736.06005859375,7111.52001953125,25348.130859375,2745.550048828125,7129.830078125,341470000,3579900000,2132430000
2018-01-11,25574.73046875,2767.56005859375,7211.77978515625,25574.73046875,2767.56005859375,7211.77978515625,25575.419921875,2767.56005859375,7211.77978515625,25396.189453125,2752.780029296875,7163.22998046875,25398.599609375,2752.969970703125,7168.72998046875,346830000,3645690000,2015170000
2018-01-12,25803.189453125,2786.239990234375,7261.06005859375,25803.189453125,2786.239990234375,7261.06005859375,25810.4296875,2787.85009765625,7265.259765625,25633.080078125,2769.639892578125,7205.18017578125,25638.390625,2770.179931640625,7208.169921875,376390000,3587220000,1986600000
2018-01-16,25792.859375,2776.419921875,7223.68994140625,25792.859375,2776.419921875,7223.68994140625,26086.119140625,2807.5400390625,7330.330078125,25702.990234375,2768.639892578125,7205.93017578125,25987.619140625,2798.9599609375,7307.18994140625,606520000,4362880000,2399790000
2018-01-17,26115.650390625,2802.56005859375,7298.27978515625,26115.650390625,2802.56005859375,7298.27978515625,26130.44921875,2807.0400390625,7309.35986328125,25865.01953125,2778.3798828125,7229.31982421875,25910.779296875,2784.989990234375,7257.77001953125,522720000,3790340000,2245910000
2018-01-18,26017.810546875,2798.030029296875,7296.0498046875,26017.810546875,2798.030029296875,7296.0498046875,26153.419921875,2805.830078125,7313.89013671875,25947.3203125,2792.56005859375,7276.10986328125,26149.55078125,2802.39990234375,7293.64990234375,492780000,3703300000,2037410000
2018-01-19,26071.720703125,2810.300048828125,7336.3798828125,26071.720703125,2810.300048828125,7336.3798828125,26071.720703125,2810.330078125,7336.3798828125,25942.830078125,2798.080078125,7297.27978515625,25987.349609375,2802.60009765625,7312.0,585000000,3724230000,2005470000
